Brewery,City,State,Brewery_id,Name,Beer_ID,ABV,IBU,Style,Ounces
NorthGate Brewing,Minneapolis,MN,1,Wall's End,2690,0.048,19,English Brown Ale,16
NorthGate Brewing,Minneapolis,MN,1,Pumpion,2689,0.06,38,Pumpkin Ale,16
Against the Grain Brewery,Louisville,KY,2,A Beer,2683,0.042,42,American Pale Ale (APA),16
Against the Grain Brewery,Louisville,KY,2,Flesh Gourd'n,2681,0.066,21,Pumpkin Ale,16
Against the Grain Brewery,Louisville,KY,2,Sho'nuff,2680,0.04,13,Belgian Pale Ale,16
Against the Grain Brewery,Louisville,KY,2,Coq de la Marche,2677,0.051,38,Saison / Farmhouse Ale,16
Against the Grain Brewery,Louisville,KY,2,The Brown Note,2674,0.05,20,English Brown Ale,16
Mike Hess Brewing Company,San Diego,CA,4,Jucundus,2666,0.06,24,Wheat Ale,16
Mike Hess Brewing Company,San Diego,CA,4,Grazias,2663,0.063,30,Cream Ale,16
Fort Point Beer Company,San Francisco,CA,5,Park,2661,0.047,19,American Pale Wheat Ale,12
Fort Point Beer Company,San Francisco,CA,5,Westfalia,2660,0.056,16,American Amber / Red Ale,12
Petoskey Brewing,Petoskey,MI,12,North 45 Amber Ale,1404,0.059,25,American Amber / Red Ale,16
Perrin Brewing Company,Comstock Park,MI,14,Hotbox Brown,2633,0.055,10,American Brown Ale,12
Perrin Brewing Company,Comstock Park,MI,14,Gold,2632,0.048,15,American Blonde Ale,12
Perrin Brewing Company,Comstock Park,MI,14,Veteran’s Pale Ale (VPA),2629,0.05,40,American Pale Ale (APA),12
Founders Brewing Company,Grand Rapids,MI,16,Dirty Bastard,2625,0.085,50,Scotch Ale / Wee Heavy,12
Flat 12 Bierwerks,Indianapolis,IN,17,Hinchtown Hammer Down,2284,0.05,27,American Blonde Ale,16
Tin Man Brewing Company,Evansville,IN,18,Rivet Irish Red Ale,950,0.051,22,Irish Red Ale,16
Three Pints Brewing,Martinsville,IN,22,Citra Faced,2617,0.055,64,American Pale Wheat Ale,16
Three Pints Brewing,Martinsville,IN,22,Pale,2615,0.054,37,American Pale Ale (APA),16
